,0,1,2,3
0,2007-08-02,600581,102616.82242990653,102578.29906542055
1,2007-08-02,600231,85590.90909090907,85555.7909090909
2,2007-08-02,000709,183035.19061583575,182980.47800586506
3,2007-08-02,600019,104696.73405909797,104657.82270606532
4,2007-08-02,600483,74308.61723446894,74275.75551102204
5,2007-08-02,600010,89999.99999999999,89963.99999999999
6,2007-08-02,000959,68799.63898916966,68767.87906137183
7,2007-08-02,000900,69419.32168550872,69387.43782117162
8,2007-08-02,600189,43148.571428571435,43121.94171428572
9,2007-08-02,600022,170883.6206896552,170831.00431034484
10,2007-08-02,600359,36208.609271523164,36183.27814569535
11,2007-08-02,600005,189817.41573033706,189761.452247191
12,2007-08-02,000916,53609.4674556213,53580.56804733728
13,2007-08-02,600153,163706.89655172414,163656.1979785969
14,2007-08-02,600301,84008.87573964498,83974.07396449705
15,2007-08-02,600886,95012.2062862374,94975.20384498015
16,2007-08-02,600510,39378.47866419295,39352.547309833026
17,2007-08-02,000983,217793.91891891893,217732.36013513515
18,2007-08-02,600780,92697.16088328075,92660.68454258675
19,2007-08-02,600033,52161.80371352784,52133.40318302387
20,2008-08-04,600126,-13945.564755945126,-13997.04713250249
21,2008-08-04,600321,-37550.17837868302,-37596.47686414436
22,2008-08-04,600231,18400.792807501704,18342.612156428913
23,2008-08-04,000916,-35582.842782209096,-35629.938435557015
24,2008-08-04,600493,-37451.147410071884,-37497.775328701646
25,2008-08-04,600626,-30763.7385653703,-30812.174854471243
26,2008-08-04,000155,33278.96383869955,33218.423768380846
27,2008-08-04,000761,-65711.04230930081,-65752.04449916421
28,2008-08-04,000959,-38233.09463844846,-38279.41735512628
29,2008-08-04,600012,-45051.06379335386,-45096.022916200694
30,2008-08-04,600102,-54318.54895354321,-54361.62918202361
31,2008-08-04,600051,-34805.71719626817,-34853.353256274044
32,2008-08-04,600377,-34371.29364116584,-34418.516809820656
33,2008-08-04,600019,-53096.00442427402,-53139.506442678365
34,2008-08-04,600452,-43227.865897615295,-43272.84034395322
35,2008-08-04,600035,-37967.7166260752,-38014.407721192525
36,2008-08-04,002043,-28075.3654534639,-28123.436942513716
