,datetime,value
199,2005-11-02,300000.0
200,2005-11-03,300000.0
201,2005-11-04,300000.0
202,2005-11-07,300000.0
203,2005-11-08,300000.0
204,2005-11-09,300000.0
205,2005-11-10,300000.0
206,2005-11-11,300000.0
207,2005-11-14,300000.0
208,2005-11-15,300000.0
209,2005-11-16,300000.0
210,2005-11-17,300000.0
211,2005-11-18,300000.0
212,2005-11-21,300000.0
213,2005-11-22,300000.0
214,2005-11-23,300000.0
215,2005-11-24,300000.0
216,2005-11-25,300000.0
217,2005-11-28,300000.0
218,2005-11-29,300000.0
219,2005-11-30,300000.0
220,2005-12-01,300000.0
221,2005-12-02,300000.0
222,2005-12-05,300000.0
223,2005-12-06,300000.0
224,2005-12-07,300000.0
225,2005-12-08,300000.0
226,2005-12-09,300000.0
227,2005-12-12,300000.0
228,2005-12-13,300000.0
229,2005-12-14,300000.0
230,2005-12-15,300000.0
231,2005-12-16,300000.0
232,2005-12-19,300000.0
233,2005-12-20,300000.0
234,2005-12-21,300000.0
235,2005-12-22,300000.0
236,2005-12-23,300000.0
237,2005-12-26,300000.0
238,2005-12-27,300000.0
239,2005-12-28,300000.0
240,2005-12-29,300000.0
241,2005-12-30,300000.0
242,2006-01-04,300000.0
243,2006-01-05,300000.0
244,2006-01-06,300000.0
245,2006-01-09,300000.0
246,2006-01-10,300000.0
247,2006-01-11,300000.0
248,2006-01-12,300000.0
249,2006-01-13,300000.0
250,2006-01-16,300000.0
251,2006-01-17,300000.0
252,2006-01-18,300000.0
253,2006-01-19,300000.0
254,2006-01-20,300000.0
255,2006-01-23,300000.0
256,2006-01-24,300000.0
257,2006-01-25,300000.0
258,2006-02-06,300000.0
259,2006-02-07,300000.0
260,2006-02-08,300000.0
261,2006-02-09,300000.0
262,2006-02-10,300000.0
263,2006-02-13,300000.0
264,2006-02-14,300000.0
265,2006-02-15,300000.0
266,2006-02-16,300000.0
267,2006-02-17,300000.0
268,2006-02-20,300000.0
269,2006-02-21,300000.0
270,2006-02-22,300000.0
271,2006-02-23,300000.0
272,2006-02-24,300000.0
273,2006-02-27,300000.0
274,2006-02-28,300000.0
275,2006-03-01,300000.0
276,2006-03-02,300000.0
277,2006-03-03,300000.0
278,2006-03-06,300000.0
279,2006-03-07,300000.0
280,2006-03-08,300000.0
281,2006-03-09,300000.0
282,2006-03-10,300000.0
283,2006-03-13,300000.0
284,2006-03-14,300000.0
285,2006-03-15,300000.0
286,2006-03-16,300000.0
287,2006-03-17,300000.0
288,2006-03-20,300000.0
289,2006-03-21,300000.0
290,2006-03-22,300000.0
291,2006-03-23,300000.0
292,2006-03-24,300000.0
293,2006-03-27,300000.0
294,2006-03-28,300000.0
295,2006-03-29,300000.0
296,2006-03-30,300000.0
297,2006-03-31,300000.0
298,2006-04-03,300000.0
299,2006-04-04,300000.0
300,2006-04-05,300000.0
301,2006-04-06,300000.0
