,0,1,2,3
0,2006-08-03,000900.XSHE,-91.57245632065852,-97.49414182939438
1,2006-08-03,600066.XSHG,113.27441860465022,107.31176372092929
2,2006-08-04,600317.XSHG,-187.23360137633225,-192.58848237569535
3,2006-08-07,600598.XSHG,-798.7775061124686,-804.5577506112461
4,2006-08-07,600066.XSHG,-425.7134153026581,-431.0216383676191
5,2006-08-07,600153.XSHG,-379.63733650416145,-385.48728299643255
6,2006-08-10,600153.XSHG,-241.78067227097662,-247.09984706093815
7,2006-08-15,600598.XSHG,-509.36144896515924,-514.6095149909487
8,2006-08-15,600153.XSHG,-345.63924466745067,-350.93315179624096
9,2006-08-18,000531.XSHE,-256.08831269509466,-261.3770105898645
10,2006-08-18,600317.XSHG,-98.5412166922566,-103.84711375993078
11,2006-08-18,600153.XSHG,-157.09469327751023,-162.38878444096235
12,2006-08-24,600066.XSHG,-31.439870536656567,-36.78416483757213
13,2006-09-04,600971.XSHG,-208.84676725733183,-214.12641353359717
14,2006-09-04,600598.XSHG,-32.41984327872686,-37.73021360778243
15,2006-09-04,600581.XSHG,-40.26143351854561,-45.575942742993504
16,2006-09-08,000531.XSHE,-231.48647373368516,-236.8049935730603
17,2006-09-08,600971.XSHG,-291.96189450992466,-297.2978457057775
18,2006-09-08,000709.XSHE,-610.0641733096381,-615.3222087610104
19,2006-09-08,600598.XSHG,-128.23268052663312,-133.5735716705674
20,2006-09-08,000916.XSHE,-398.99908401781386,-404.2858218810499
21,2006-09-08,600581.XSHG,-421.7712997037103,-427.0534831238092
22,2006-09-11,600056.XSHG,-454.1603752530727,-459.4182122531337
23,2006-09-12,600317.XSHG,-324.69899191325095,-329.9980794612752
24,2006-09-14,000531.XSHE,-437.2958064539522,-442.5668666586283
25,2006-09-14,600971.XSHG,-188.1151001273993,-193.38371637615262
26,2006-09-15,600317.XSHG,-131.01825355009484,-136.29828916816362
27,2006-09-15,600096.XSHG,-425.0075820704011,-430.30085831982336
28,2006-09-15,000916.XSHE,-150.35581411123619,-155.598220163248
29,2006-09-20,000088.XSHE,-281.8054732949156,-287.0981323402357
30,2006-09-21,600096.XSHG,-142.33474474264392,-147.6218335337207
31,2006-09-21,600022.XSHG,-314.6394414360385,-319.90687584972653
32,2006-09-22,600056.XSHG,-344.3881183678377,-349.63479648418945
33,2006-09-22,000900.XSHE,-292.6217847608193,-297.87727201512365
34,2006-09-25,600005.XSHG,-502.82284027266456,-508.03783144463534
35,2006-09-25,600971.XSHG,-288.73639236825846,-293.9968944501678
36,2006-09-25,600886.XSHG,-449.73108324503823,-454.98477724112354
37,2006-09-26,600317.XSHG,-249.02542603751382,-254.30259963102182
38,2006-09-27,000709.XSHE,-486.7136619439903,-491.90431999754594
39,2006-09-27,000916.XSHE,-322.30515214705684,-327.5760810198618
40,2006-09-29,000916.XSHE,24.9577020817818,19.741542346689755
41,2006-09-29,600066.XSHG,-114.40878809281703,-119.78981475944923
42,2006-10-12,000088.XSHE,-104.3322110717966,-109.64589594351418
43,2006-10-13,000933.XSHE,-207.07209036320194,-212.40299278255227
44,2006-10-16,600780.XSHG,-96.1842975000777,-101.57446553198199
45,2006-10-17,600096.XSHG,-293.6762119582553,-298.9950144637214
46,2006-10-18,000088.XSHE,-120.916252553211,-126.31841866728058
47,2006-10-18,600317.XSHG,140.62343628668563,135.3511391446756
48,2006-10-20,600780.XSHG,-145.5464752176466,-150.97438843343002
49,2006-10-23,600317.XSHG,-307.9556164961065,-313.33604105288845
50,2006-10-24,600096.XSHG,-330.91628007127946,-336.2877131293965
