,0,1,2,3
0,2006-08-03,000900.XSHE,-201.43884892086498,-214.4652278177475
1,2006-08-03,600066.XSHG,249.17829457364135,236.06179224805996
2,2006-08-04,600317.XSHG,-416.26918302710556,-428.1744816616808
3,2006-08-07,600598.XSHG,-1757.1312143439263,-1769.8464547677243
4,2006-08-07,600066.XSHG,-944.9343452880197,-956.7167371653479
5,2006-08-07,600153.XSHG,-835.1169242964719,-847.9854934601659
6,2006-08-07,600231.XSHG,-1649.8316498316499,-1662.5683501683502
7,2006-08-07,600500.XSHG,-1796.987459936748,-1808.626409484954
8,2006-08-08,600479.XSHG,-541.1042944785268,-553.9986094069521
9,2006-08-10,600153.XSHG,-537.124695975777,-548.9414392872442
10,2006-08-15,600598.XSHG,-1132.5804620886445,-1144.249694333519
11,2006-08-15,600153.XSHG,-768.2199141143798,-779.9861847059084
12,2006-08-18,000531.XSHE,-569.599602246316,-581.3628888467806
13,2006-08-18,600317.XSHG,-219.17844372541148,-230.97998526200422
14,2006-08-18,600153.XSHG,-349.4149102868872,-361.1901927635554
15,2006-08-24,600066.XSHG,-69.97566711928843,-81.87045398084231
16,2006-08-31,600019.XSHG,-317.16441339240566,-329.0263624532816
17,2006-09-04,600971.XSHG,-464.6449497201041,-476.3911740490283
18,2006-09-04,600598.XSHG,-72.16088569628137,-83.98083877333251
19,2006-09-04,600581.XSHG,-89.679215830284,-101.5168723198812
20,2006-09-08,000531.XSHE,-515.4761072990192,-527.319433862228
21,2006-09-08,600971.XSHG,-649.9002375170367,-661.7779380484195
22,2006-09-08,000709.XSHE,-1358.870558927261,-1370.5824244739683
23,2006-09-08,600598.XSHG,-285.4428988810121,-297.33159561940624
24,2006-09-08,000916.XSHE,-888.1624771873871,-899.93063001012
25,2006-09-08,600581.XSHG,-938.852888029855,-950.6109027704193
26,2006-09-08,600010.XSHG,-1400.773860051308,-1412.3867272136688
27,2006-09-08,600231.XSHG,-670.3978930333135,-682.2090850033004
28,2006-09-11,600056.XSHG,-1010.9502003446039,-1022.6540205328557
29,2006-09-11,000912.XSHE,75.26881720430616,62.172043010757776
30,2006-09-12,600317.XSHG,-723.0425592292502,-734.8426137958716
